country,city,state,name,address,joined,type_of_office,price,time_period
brazil,rio-de-janeiro,,tribo-coworking,"Avenida Nossa Senhora de Copacabana, 1072 - Cobertura - Copacabana, Rio de Janeiro - RJ, 22060-002, Brasil, Rio de Janeiro, Brazil",October 2016,Membership: Hot Desk / Open Plan,BRL 680.00,1 Month
brazil,rio-grande,,coplace,"Rua General Câmara, 435, Rio Grande, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 996.00,1 Month
brazil,sao-paulo,,mako-coworking,"281 Rua Bagé, Sao Paulo, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 899.00,1 Month
brazil,rio-de-janeiro,,barra-cowork,"55 Rua Gildásio Amado, Rio de Janeiro, Brazil",January 2018,Membership: Dedicated Desk,BRL 659.00,1 Month
brazil,rio-de-janeiro,,barra-cowork,"55 Rua Gildásio Amado, Rio de Janeiro, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 89.00,1 Day
brazil,rio-de-janeiro,,selina-lapa-rio,"9 Largo da Lapa, Rio de Janeiro, Brazil",June 2019,Membership: Hot Desk / Open Plan,BRL 50.00,1 Day
brazil,rio-de-janeiro,,selina-lapa-rio,"9 Largo da Lapa, Rio de Janeiro, Brazil",June 2019,Membership: Hot Desk / Open Plan,BRL 200.00,1 Week
brazil,rio-de-janeiro,,selina-lapa-rio,"9 Largo da Lapa, Rio de Janeiro, Brazil",June 2019,Membership: Hot Desk / Open Plan,BRL 600.00,1 Month
brazil,rio-de-janeiro,,wecompany-coworking,"Shopping Downtown - Av. das Américas, 500 - Lojas 129/130 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brazil, Rio de Janeiro, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 850.00,1 Month
brazil,sao-paulo,,trampolim,"471 R. MIN. GODÓI, PERDIZES, SP, 05015-000, BRASIL, Sao Paulo, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 800.00,1 Month
brazil,sao-paulo,,plug-n-work-pinheiros,"890 Rua Lisboa, Sao Paulo, Brazil",March 2019,Membership: Hot Desk / Open Plan,BRL 900.00,1 Month
brazil,porto-alegre,,cuento-coworking,"Quintino Bocaiuva, 1482 | Porto Alegre / RS, Porto Alegre, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 499.00,1 Month
brazil,belo-horizonte,,guajajaras-coworking,"R. dos Guajajaras, 628 - Lourdes Belo Horizonte - MG 30180-100 Brazil, Belo Horizonte, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 790.00,1 Month
brazil,vitoria,,nest-coworking,"R. Elesbão Linhares, 285 - Praia do Canto, Vitória - ES, 29055-340, Vitoria, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 800.00,1 Month
brazil,campinas,,umbco23,"R. Dr. Antonio Alvares Lobo, 547, Campinas, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 24.00,1 Day
brazil,campinas,,umbco23,"R. Dr. Antonio Alvares Lobo, 547, Campinas, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 120.00,1 Week
brazil,campinas,,umbco23,"R. Dr. Antonio Alvares Lobo, 547, Campinas, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 480.00,1 Month
brazil,rio-de-janeiro,,startup-inn,"Rua Ferreira Pontes, Rio de Janeiro, Brazil",July 2016,Membership: Hot Desk / Open Plan,USD 20.00,1 Day
brazil,rio-de-janeiro,,startup-inn,"Rua Ferreira Pontes, Rio de Janeiro, Brazil",July 2016,Membership: Hot Desk / Open Plan,USD 100.00,1 Week
brazil,rio-de-janeiro,,startup-inn,"Rua Ferreira Pontes, Rio de Janeiro, Brazil",July 2016,Membership: Hot Desk / Open Plan,USD 300.00,1 Month
brazil,recife,,impact-hub-recife,"Rua do Bom Jesus, 180. Recife, Brasil, Recife, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 80.00,1 Day
brazil,recife,,impact-hub-recife,"Rua do Bom Jesus, 180. Recife, Brasil, Recife, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 350.00,1 Week
brazil,recife,,impact-hub-recife,"Rua do Bom Jesus, 180. Recife, Brasil, Recife, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 1200.00,1 Month
brazil,sao-paulo,,startup-inn,"Rua Cruçai 140, Sao Paulo, Brazil",July 2016,Membership: Hot Desk / Open Plan,BRL 1000.00,1 Month
brazil,recife,,workhall-coworking,"1460 Avenida Conselheiro Rosa e Silva, mezanino, Recife, Brazil",July 2016,Membership: Hot Desk / Open Plan,BRL 299.00,1 Week
brazil,recife,,workhall-coworking,"1460 Avenida Conselheiro Rosa e Silva, mezanino, Recife, Brazil",July 2016,Membership: Hot Desk / Open Plan,BRL 559.00,1 Month
brazil,cascavel,,banzai-coworking,"Rua Castro Alves, 2258, Cascavel, Brazil",June 2016,Membership: Dedicated Desk,BRL 700.00,1 Month
brazil,cascavel,,banzai-coworking,"Rua Castro Alves, 2258, Cascavel, Brazil",June 2016,Membership: Dedicated Desk,BRL 630.00 /month,6 Months
brazil,cascavel,,banzai-coworking,"Rua Castro Alves, 2258, Cascavel, Brazil",June 2016,Membership: Dedicated Desk,BRL 560.00 /month,1 Year
brazil,cascavel,,banzai-coworking,"Rua Castro Alves, 2258, Cascavel, Brazil",June 2016,Membership: Hot Desk / Open Plan,BRL 15.00,1 Hour
brazil,cascavel,,banzai-coworking,"Rua Castro Alves, 2258, Cascavel, Brazil",June 2016,Membership: Hot Desk / Open Plan,BRL 100.00,1 Day
brazil,cascavel,,banzai-coworking,"Rua Castro Alves, 2258, Cascavel, Brazil",June 2016,Membership: Hot Desk / Open Plan,BRL 700.00,1 Month
brazil,sao-paulo,,cubo-network,"Rua Casa do Ator, 919 São Paulo, Brazil, Sao Paulo, Brazil",March 2019,Membership: Hot Desk / Open Plan,BRL 1.00,1 Hour
brazil,joao-pessoa,,bit-cowork,"153 Rua Hildebrando Tourinho, Joao Pessoa, Brazil",March 2017,Membership: Dedicated Desk,BRL 500.00,1 Month
brazil,joao-pessoa,,bit-cowork,"153 Rua Hildebrando Tourinho, Joao Pessoa, Brazil",March 2017,Membership: Hot Desk / Open Plan,BRL 7.00,1 Hour
brazil,recife,,workspot-coworking,"Rua do Futuro, 564 - Aflitos, 52050-005 Recife, Brazil, Recife, Brazil",February 2019,Membership: Hot Desk / Open Plan,BRL 590.00,1 Month
